"02bc4672-b088-4c7b-a82f-a4ed98f912b6","71A11541",d8f03a40-8abf-4f63-bdb1-cc54f96531c0,B0036,M0206,,,false,,,2025-07-31 09:54:08.691,2025-07-31 10:57:28.855,2
"665f03df-f682-4a7a-9649-b5e9b24840ad","71A45678",b74c3272-dc16-4e88-94d1-e010572a9d85,B0012,M0058,,,false,,,2025-07-31 10:29:30.588,2025-07-31 12:07:29.288,3
"9b424195-4e9e-4fcf-bbf2-9f7388622c1d","51K27158","8ea9a1be-9aa1-4fb2-af73-ad4f02ac0e27",B0001,M0006,,,false,,,2025-07-31 10:04:22.342,2025-07-31 12:34:25.295,2
"48684a71-7d88-4109-a407-1065b23cde2c","51L20543","820a3a27-6fe6-4847-a33d-76ae8e1b9966",B0001,M0004,,,false,,,2025-08-09 12:38:56.617,2025-08-09 16:02:51.847,3
b0a3b86d-85b4-44ed-a8e0-5fc856c5fd65,"51F-78360",fc6a0f60-1f57-44a6-8503-c465ab831d99,B0037,M0215,,xe nay la vitara,false,,,2025-07-26 11:19:31.666,2025-07-30 07:43:12.851,7
f059ff86-4606-44c2-a328-a4fd545892e4,"81A55619",ccb16d05-900c-4ff3-a01e-e734508d889e,B0033,M0180,,,false,,,2025-07-29 15:41:41.089,2025-07-30 08:37:18.178,6
eb2c3469-5124-468b-8b45-245ef5eb00f4,"51F71983","04455861-8de3-4856-9589-63b5a77e421f",B0026,M0138,,,false,,,2025-08-05 08:47:16.525,2025-08-05 10:02:20.693,3
"21fd274a-0cdb-4d4d-aad1-ded4587d918e","51L91016","36dc8c91-3055-47d1-b93d-dce2e0ffc41d",B0011,M0046,,,false,,,2025-08-05 09:13:56.890,2025-08-05 11:07:32.501,2
"12bf611a-e553-45bb-94f8-88c34f0f5f32","51G39407",a79c392a-d059-4d30-86c4-3f0d19bd44bf,B0034,M0186,,,false,,,2025-07-31 14:12:51.131,2025-07-31 15:22:39.535,3
"9d9e5141-7bb3-41e4-ba2d-50213416de70","51L31391","7d63ecad-b731-4bc8-8f7c-277021ef4e91",B0038,M0231,,,false,,,2025-07-30 08:42:24.233,2025-07-30 11:17:20.250,5
cc683c69-20d7-4fec-8247-dc733b716daa,"51G98487","669a20a0-3aaf-41b4-8333-1d8cd230c88f",B0001,M0006,,,false,,,2025-08-09 08:40:01.951,2025-08-09 10:27:11.063,4
"5a4f49b1-c978-49c9-8b05-4d98c29c4e14","51H81276",a1365efa-92a0-43b1-8015-a39a2c2699f5,B0027,M0147,,,false,,,2025-08-01 08:57:20.221,2025-08-01 10:03:25.073,3
"78f90a88-b147-4567-91dc-4cd51abda492","51K57675",d169db0f-9c0a-4896-8f64-3e95aa0b3615,B0013,M0066,,,false,,,2025-08-05 13:18:43.926,2025-08-05 14:20:45.865,2
"6daf9c28-3501-4d84-8fa7-7e1db4e483fc","51F67609 ",c8722e7c-ab98-4f88-a504-841fbc968067,B0036,M0198,,,false,,,2025-08-01 12:59:02.621,2025-08-01 14:47:05.519,2
"4d4703a5-7e8b-4379-92f5-988c31a4a9ef","60K74083","8201f4bf-3d62-4632-982f-ab7e2294a467",B0004,M0028,,,false,,,2025-08-08 13:43:45.026,2025-08-08 14:31:36.125,1
"4424f56e-f200-4888-a138-b73a75980414","51G35870",c367dcff-4f12-42b2-a8ad-afa5001acb68,B0013,M0066,,,false,,,2025-08-05 14:29:10.006,2025-08-05 15:39:09.267,3
bf54cbec-ae86-467d-9798-6230e77d17a2,"51L98022","8de39767-5035-4ea1-b70d-61102846d53d",B0024,M0129,,,false,,,2025-08-06 16:37:40.032,2025-08-06 17:17:59.296,2
c0db9f44-1ade-4ade-adf7-c7f6cbfb5ca6,"51L58292",,B0004,M0027,,,false,,,2025-08-10 15:23:16.562,2025-08-10 16:27:03.461,2
"644aade9-f866-4888-ab3e-ead83c1c9187","51K78488",a56887c2-bc9d-46aa-b5db-348dae4c77a3,B0001,M0006,,,false,,,2025-07-26 16:08:51.817,2025-08-09 17:44:57.003,6
b0d5abe0-a3d6-4b76-bf02-dfadf45ebf5c,"51K48093","953a89b4-93d4-456c-9597-66cf73635f55",B0026,M0139,,,false,,,2025-08-08 14:56:15.851,2025-08-08 16:31:49.689,3
ec611987-9554-4e24-83fa-e85f7878b084,"51F86769","0d9d7f76-74b2-43b6-a9ea-a9a73cd5e895",B0027,M0148,,,false,,,2025-08-08 10:42:34.531,2025-08-09 08:09:53.549,5
ce419b41-85a7-4f0c-ae30-afcdad39f36a,"51K 54415","7af82c30-3ad9-49c3-863d-209999be7101",B0012,M0055,,,false,,,2025-08-09 10:34:30.762,2025-08-09 10:54:29.876,3
cf6d2a4b-9c79-41b4-8b54-5fa4f19fde2b,"51L59294",,B0036,M0202,,,false,,,2025-08-10 09:04:58.648,2025-08-10 10:42:25.281,1
